Seed,Chances,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th
1,114,0.114,0.11048,0.10654,0.10113,0.09712151714199814,0.4697485001407663,-,-,-,-,-,-,-,-,-,-
2,113,0.113,0.10964,0.10594,0.10066,0.09685630298971469,0.2739596871264132,0.1989805225975657,-,-,-,-,-,-,-,-,-
3,112,0.112,0.10883,0.10524,0.1001,0.09658330074843394,0.14774425983451983,0.25441802088221566,0.07399237523831567,-,-,-,-,-,-,-,-
4,111,0.111,0.10799,0.10459,0.09961,0.09630242359110941,0.07130598531453741,0.22915174091738655,0.15560472669477482,0.023329506675296287,-,-,-,-,-,-,-
5,99,0.099,0.09781,0.09643,0.09338,0.09228620874578744,0.02995543269684585,0.17890173563285092,0.22585265929678772,0.07871452975004607,0.006640840915682171,-,-,-,-,-,-
6,89,0.089,0.08901,0.08884,0.08745,0.08795741311572934,0.007286134886921832,0.10339999897680477,0.24782788664978644,0.16377797879000197,0.03270689374296665,0.0016286252606911979,-,-,-,-,-
7,79,0.079,0.07993,0.08088,0.0808,0.08265032351162337,-,0.03514798099318402,0.20078256672166006,0.2524570991395997,0.09571829387835694,0.01128582181868784,0.00032993039129720463,-,-,-,-
8,69,0.069,0.07065,0.07236,0.07312,0.07629279190608834,-,-,0.09593978539867606,0.28655237002322437,0.20587069807758332,0.045859964704446435,0.0031564409816053655,5.2081550557015835e-05,-,-,-
9,59,0.059,0.06106,0.06333,0.06456,0.06882239971637384,-,-,-,0.19516851562183507,0.3301662265628835,0.13803594899338176,0.017764072315436266,0.0006826178206769994,5.919526457032073e-06,-,-
10,49,0.049,0.05126,0.05377,0.05517,0.06018736672313721,-,-,-,-,0.3288970468225331,0.31882600983227477,0.07576330883296037,0.0053541129080427715,0.00010653910446781973,4.3616085107861686e-07,-
11,39,0.039,0.04125,0.04372,0.04513,0.05034669390292232,-,-,-,-,-,0.4843636293905235,0.2601735293069089,0.03310374866359993,0.0011854153161169568,1.1005265624582805e-05,1.6388673133415194e-08
12,29,0.029,0.03097,0.03323,0.03428,0.03926977446741672,-,-,-,-,-,-,0.6428127181717976,0.17744526653292822,0.011070449103806716,0.00018227778242382877,6.124178782439896e-07
13,19,0.019,0.02049,0.02216,0.02293,0.02693567065536846,-,-,-,-,-,-,-,0.783362172524195,0.10073551563764226,0.002859243273258977,1.705130556095785e-05
14,9,0.009,0.0098,0.01073,0.01021,0.013332205696578956,-,-,-,-,-,-,-,-,0.8868961613115012,0.05768720707085683,0.0006343413146235235
15,6,0.006,0.00654,0.00707,0.00611,0.009002796475356565,-,-,-,-,-,-,-,-,-,0.9392598304469516,0.02397083067425709
16,4,0.004,0.00437,0.00472,0.0033,0.006052810612364838,-,-,-,-,-,-,-,-,-,-,0.9753771478989796
